Name,Yearly Performance,Volatility
NXTC,-39.74103586,8.51419032
NYMX,-20.10050251,9.26428713
OBSV,8.29493088,5.81263617
OCDX,28.13664596,2.9945999
OCGN,2698.623064,6.1302682
OCUL,-48.19720383,3.95894428
OCUP,-36.7576244,3.09278351
OCX,67.59776536,5.94405594
ODT,-76.8907563,3.75
OFIX,-14.57150581,2.35518778
OGEN,19.09650924,5.1826087
OGN,0.87218045,2.61398176
OLK,-25,7.66785856
OLMA,-46.02040816,5.51643192
OM,-12.70518713,5.614241
OMER,-28.47222222,5.48204159
OMGA,27.5,9.05263158
OMIC,-44.44012442,6.89655172
ONCR,-76.18270799,6.78392857
ONCT,-10.62801932,5.75342466
ONTX,-14.55615247,6.00600601
ONVO,-39.28571429,8.10810811
OPK,4.54545455,3.35403727
OPNT,217.843389,4.50776841
ORGO,153.8106236,4.84790875
ORGS,-21.81818182,7.89473684
ORIC,-31.30469372,2.79883382
ORMP,968.7258687,4.59691558
ORTX,-66.0944206,17.21078074
OSMT,-74.14634146,29.13907285
OSUR,-19.46202532,4.48979592
OTIC,-50.69124424,5.18867925
OTLK,90.47619048,12.5
OVID,-41.15702479,3.38983051
OYST,-49.20774648,8.28082808
PACB,84.12073491,6.62376987
PAHC,15.08060322,2.28832952
PALI,-27.10626027,11.2
PASG,-50.75895568,7.04402516
PAVM,176.4044944,4.84210526
PBH,68.16561557,2.35802059
PBLA,-37.01015965,4.77990431
PBYI,-61.8336887,3.37078652
PCRX,-11.64988381,5.13876455
PCVX,-29.31506849,2.74402195
PDSB,405.6603774,3.70722433
PEN,2.08461538,3.66266843
PETQ,-8.15884477,9.79888746
PETV,-38.88888889,10.44303797
PFE,37.62486127,2.59766823
PGEN,-36.61290323,6.66666667
PHAS,-18.50828729,9.5890411
PHAT,-50.54740275,4.01153015
PHGE,-60.89285714,11.26760563
PHIO,-34.66666667,4.82758621
PHVS,-45.68965517,1.20942075
PIRS,36.29893238,2.63852243
PKI,40.98496241,3.18956044
PLRX,-43.18260269,3.88227927
PLSE,51.12044818,14.79330714
PLXP,124.6044921,7.56305662
PNT,-36.89727463,7.4556213
POAI,65.73753202,8.41121495
PODD,22.11008821,1.8523778
PRAX,-43.23006311,7.99573561
PRCT,3.74344301,5.12715241
PRFX,-46.51162791,13.89623784
PRGO,-11.57959687,1.62429379
PRLD,-69.01353965,7.35677083
PROC,-0.3021148,2.77207392
PRPH,-29.57422325,4.17021277
